X,x,classifi
259,RT @DesertRiver: Fact. Hillary lied. Hilly tried to delete all these. FBI recovered them to her dismay. FBI investigating. DOJ is too https…,negative
260,"@BernieSanders @HillaryClinton Hillary is a shameless money hungry beast.
She will sell out to anyone or anything for her personal gain.",negative
261,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
262,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
263,I can't stomach Duncan Hunter...  Trump will NEVER win CA against Hillary... Never gonna happen! Hunter is outright dishonest. ,positive
264,I honestly don't think Trump or Hillary know what the heck they are talking about.,negative
265,"Well if they did it that fast, why is it taking years to arrest Hillary https://t.co/0t1OLebclQ",negative
266,"RT @GonzaloRCordova: If you hate Hillary Clinton, you should vote for her because no way will 4 years of dealing with America's shit not ma…",negative
267,Bernie Sanders's Global Victory Over Hillary Clinton https://t.co/Lz6j1uwDaf,positive
268,"Hillary Clinton’s AIPAC speech was a symphony of craven, delusional pandering: https://t.co/HoIlEFRnY2 via @slate",negative
269,"Trump is more sensible on Israel than Hillary, although Bernie is the BEST.
#AIPAC2016 #FeelTheBern",negative
271,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",negative
272,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/QSA5NT16D5,positive
273,"This is who HILLARY CLINTON really is, her comments re assassination is enough to make your skin crawl.  https://t.co/dnpgvxBB28",negative
274,"If Hillary Isn't Indicted, The Rule Of Law &amp; The Republic Are Dead https://t.co/TZxVMnDr1I",negative
279,"Hillary Clinton hits Donald Trump at AIPAC: Hillary Clinton took shots at Donald Trump's ""neutral"" record on Israeli and Palestinian ...",positive
280,RT @HBCU_Roundtable: Even if Hillary gets the nomination. You can still write in Bernie https://t.co/6W8bZ7G22F,negative
281,I think I'll take my chances with Hillary thanks  https://t.co/VOJNWlGfeO,positive
282,RT @peddoc63: Hillary Clinton Laughs about getting off of a Child Rapist😡Listen to audio👉🏽 https://t.co/D6NQQjeHn7 ,negative
283,"Hillary Clinton hits Donald Trump at AIPAC: Hillary Clinton took shots at Donald Trump's ""neutral"" record on Israeli and Palestinian ...",positive
284,"Bernie thinks women fantasize about being raped , you lied about being raped &amp;Hillary's hubby was accused of rape 🤔https://t.co/32jYjb2QWc",negative
285,RT @davidfrum: 56% of registered Democrats would “enthusiastically” support a Sanders candidacy versus 40% for a Hillary candidacy https://…,negative
286,"Hillary will paint him as nuclear trigger happy ""The most baffling moments from Trump's Wash Post ed board interview https://t.co/51n0rHsHVS",positive
287,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",positive
288,"Hillary Clinton hits Donald Trump at AIPAC: Hillary Clinton took shots at Donald Trump's ""neutral"" record on Israeli and Palestinian ...",positive
289,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
290,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
292,"@brownsugar7878 @jettramel  #berniesanders
Don't worry that DNC $$ has been going to help Hillary.
https://t.co/7tW1TGDeI6",positive
293,"RT @EnemyWithinn: @BernieSanders @HillaryClinton 

Hillary Clinton was fighting for civil rights while you were in the Klan",positive
294,"RT @NBCInvestigates: Clinton says majority of $ from small donations. @PolitiFact finds that ""mostly false."" https://t.co/Ry4ewdv8Q0 https:…",positive
295,"RT @Fuerza_Mundial: #NotJustAnyWoman 
With Hillary all the way to her return to the White House. https://t.co/3Gk13CPjfU",positive
296,@GTolbert9 @michelekirkBPR @CNN You just don't care about the facts- I get it...  You love trump.  No different than a Hillary supporter.,negative
298,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
299,"Ep. 92 - Hillary Is Anti-Israel, Obama Is Pro-Cuba, Is Anybody Pro-America? (Audio) https://t.co/guWqNxKoZr",negative
300,RT @wtfjxrge: You guys better vote for Hillary,negative
301,"HILLARY LIES , AMERICA DIES .",negative
302,"RT @GuyCodes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/n02sn0mNJq",positive
304,RT @shbarney: @_HankRearden @BarbMuenchen He is so weak.  No way he could beat Hillary.,negative
306,RT @webs1934: @jackiemccaffrey Bernie is the reason I'm supporting Hillary. His campaign convinced me to vote for Hillary. I was none of th…,positive
307,RT @sanders_bot: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/Mhg0cDqDVR,positive
308,"RT @NumbersMuncher: Trump now trails Hillary by *nine* in the national average, with Hillary taking her biggest lead since Labor Day. https…",negative
309,"@foxcarolinanews @Angelwings55sc 
That's really good and all the go arrest Hillary",negative
310,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
312,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
313,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
314,RT @gerfingerpoken2: (IBD) Hillary Clinton Ignored Nigeria's Terrorist Group ,negative
315,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
316,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
318,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
319,"@bakoooom and what I mean by at all costs is making sure he does not win this election, even as awful Hillary is she's God compared to him.",positive
320,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
321,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/djN6KhMoai,positive
322,@realDonaldTrump. You said you dont know Hillary is a lie. Every time you open your mouth its a lie.Your bipolar demented Know nothing on FP,negative
323,RT @AmyMek: Jews in Israel know how evil Obama/Hillary are 2 them! JINOS in USA don't care about Any Israel! Jews Who do Care Will Vote Tru…,negative
324,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
325,RT @davidfrum: 56% of registered Democrats would “enthusiastically” support a Sanders candidacy versus 40% for a Hillary candidacy https://…,negative
326,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
327,RT @antoniodelotero: carly fiorina dragged hillary SO HARD IM SCREAMING https://t.co/eCZUJg1NcB,negative
328,"RT @DiamondandSilk: Kasich, millions of  people got out &amp; voted for @realDonaldTrump.  Don't go against the will of the people.  Trump will…",negative
329,"RT @maint47: Retweeted Jon Stall (@JonStall2009):

Will Hillary send us up this Creek? https://t.co/7av6DnjWGg https://t.co/1rBov5bgkA",negative
330,"RT @Manstagram_: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/PVZKbPdjJ4",positive
331,"RT @Slate: Hillary Clinton’s AIPAC speech was a symphony of craven, delusional pandering: https://t.co/jwJcqbaApf https://t.co/sm5A1kBKa0",negative
332,RT @umpire43: Hey Utah Take a look at who FUNDS CRUZ and Sanders and Hillary. I give you GEORGE SOROS- Wanted in Russia https://t.co/MKdcKh…,negative
333,"Now that the contests are less predominantly black, Sec. Clinton doesn't mind cozying up. https://t.co/zWvdcztEKW",negative
334,6 Key Issues Where Trump Neutralizes Hillary or Runs to Her Left | Alternet https://t.co/Nf9RHTfKp6 https://t.co/l0nYIqnQ4H,negative
335,"RT @CNN: Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/…",negative
336,RT BernieSanders: Wonder how many $27 contributions HillaryClinton got at her fundraiser hosted by the NRA lobbyis… https://t.co/7d75A55xtZ,positive
337,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
338,@bortions_ has a poster of Hillary Clinton hanging above his bed.  Fully clothed.,negative
339,"Because Hillary is nothing if not consistent! For TPP, against it. Against Colombia trade pact, then for it. Etc. https://t.co/oqpyVGoVD0",negative
340,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",positive
341,RT @maggieNYT: Clinton used speech to turn to gen elex. Trump used his to clear a basic bar of credibility https://t.co/jFM1few4YT,negative
342,"RT @itsGirICode: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/5KXV45PFb0",positive
343,@DianneMarieTH Look at the polls Hillary will walk all over Trump. Cruz is beating her.The only reason Trump is ahead is Kasich &amp,negative
344,"RT @HillaryClinton: This primary is being decided state by state. Help Hillary win in three easy (seriously, easy) steps: https://t.co/8myX…",negative
347,"RT @causticbob: What is Bill Clinton's definition of safe sex?

When #Hillary is out of town.",negative
348,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
349,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
350,"@BreitbartNews It's a referendum on whether our electorate is willing to vote for a pandering, incompetent, lying, petulant snob - Hillary",negative
351,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
352,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
353,@katfukui She will be. She's ramping up to take Hillary's place after Hillary's indicted.,negative
355,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",positive
356,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
357,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
358,RT @BrianWhiteMA: drumpf just said Hillary doesn't know him. Oh really? Just like you don't know David Duke? ,positive
359,Will white zionists ultimately pay the high price for a @realDonaldTrump kind of foreign policy? Hillary is a cheaper deal. ,negative
360,"#AIPAC2016 
Hillary LOL 
Dem chastize Israel 4 settlements
Dem = Israel give up more land
Dem criticize when they STRIKE BACK vs TERRORISTS",positive
361,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",positive
362,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
363,"RT @TweetLikeAGirI: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/BG4pCnT8wR",positive
364,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
365,RT @FiveRights: Hillary's stance on Israel. https://t.co/QeDj7lbfE9,positive
366,GOP would party like it's 1998 with Hillary. A conservative newspaper retweeted 2 negative articles about Hillary today.,negative
367,@EB_Asbr @VanJones68 smh. Wonder how all those southern black Hillary voters feel now that they are not needed he is slamming POTUS. smh,positive
369,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
370,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",positive
371,RT @BernieSanders Wonder how many $27 contributions @HillaryClinton got at her fundraiser… https://t.co/56BJJZtiki https://t.co/9fgQU4QDfV,positive
372,"RT @va_shiva: Sheer hypocrisy that Clinton supposedly does yoga, meditates and eats organic food while pushing GMOs on us. https://t.co/Bbv…",negative
373,"I think Democrats, especially women, are beginning to see who Hillary really is. @CaseyCat2007 @msbhavens1",positive
374,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",negative
375,Robert Samuelson Pushes the TPP Again  https://t.co/udDV4r3X1O via @ceprdc Hillary just has orgasms when thinking of TPP and the job loss,negative
376,@TheSwissK @ggindc @JManning1727 @tedcruz @realDonaldTrump @CNN I want to watch Hillary beat either one of these losers.,positive
377,RT @redsteeze: Hillary says she's going to put coal miners out of business and no one died in Libya. GOP frontrunner yells about Megyn Kell…,positive
378,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
379,"RT @aehooker501: Hillary Clinton Shrugs Off $675,000 Goldman Sachs…: https://t.co/0Uo1P46vP3

#AZPrimary #caucusforbernie #OfThePeople #Eno…",positive
380,RT @Lrihendry: Hey Hillary! We got your number! 666 ,negative
381,"@CindyCallinsky @TimBartender @jimmy_dore Wilkileaks exposes Hillary Libya, Syria plans, FB censors it #StillSanders https://t.co/7bnLgTv8at",positive
382,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
384,"RT @rmbctious: O.k. Hillarists, given the speech Hillary just made to AIPAC can you FINALLY stop pretending she is a progressive?",negative
385,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
386,"@mzee26 @WGinetta HILLARY IS SICK N THE HEAD,NEEDS TO ANSWER FOR HER CRIMES. FBI NEEDS TO DO THERE JOB NOW!!!",negative
387,"RT @JeffDSachs: Hillary got millions for AIPAC speech, from billionaire Haim Saban. More hawkish, more funds. Simple &amp; dangerous. https://t…",negative
388,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
389,I added a video to a @YouTube playlist https://t.co/16UZ3ZpByf Hillary Clinton Announces Presidential Run Jim Jones Style,positive
390,"RT @ggreenwald: Hear that noise? It's liberals walking around confused, trying to figure out how to attack Trump's AIPAC speech that sounds…",negative
391,RT @Millennials4Her: Not on the Hillary phone call? You're missing out on great information. I'm sure @ajeanster would be happy to fill you…,negative
392,"RT @Manstagram_: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/PVZKbPdjJ4",positive
393,@smileyt22 @yourockrussell @WildPowers @cspanwj This is True Hillary is also a Republican even more so than some actual repubs,positive
394,"First Draft: Hillary Clinton Criticizes Sheriff Joe Arpaio, Immigration Proxy for Donald… https://t.co/7a89DjxA3X https://t.co/90x0flmOJh",negative
395,Bombshell Audio Leaked: Hillary Clinton’s Plan to Take Away Your Guns https://t.co/gDgnAFUmL5,negative
396,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
398,"RT @BetteMidler: .@nytimes reports 53% of Americans don't like Hillary and 63% don't like @realDonaldTrump.  @kanyewest, jump in! You could…",positive
399,"RT @GuerrillaDems: Bernie Sanders's Global Victory Over Hillary Clinton https://t.co/JU3uO9hGVI
#StillSanders #ForThePeople #ImWithHer htt…",negative
401,"RT @HuffingtonPost: George Clooney praises Hillary Clinton, shades Trump in endorsement email https://t.co/JXigSCob5L https://t.co/iRUKJdj1…",positive
402,"RT @DanODradio: @thehill No, she tweeted a bunch of things. ""Stepping into the ring"" would have meant running...but she was too scared to o…",positive
403,"RT @adirado29: As Hillary Clinton bolstered Boeing, company returned the favor | The Seattle Times  https://t.co/nwz1Gv4RD3",positive
404,"RT @MrDane1982: Oh gosh, these boys are so damn boring with their overt macho talk! There's a reason why Hillary is a BOSS, she doesn't hav…",negative
405,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
406,RT @NatCounterPunch: The Devil and Hillary Clinton. https://t.co/PSZPMzqDsI https://t.co/CsDMyazJyU,negative
407,RT @KarenAttiah: My latest: When are we going to ask Hillary Clinton serious questions about her actions in Haiti and Honduras? https://t.c…,negative
408,"RT @LifeZette: Hillary is going for your guns, no matter the cost https://t.co/2EHC4eZleC https://t.co/3k9l6Qu5sJ",negative
409,"RT @MSNBC: .@BernieSanders says @HillaryClinton is ""much more hawkish"" than him.  https://t.co/jwOmvbGBAR",negative
412,RT @Sweetpea593: A vote for Donald is the same as a vote for Hillary ,negative
413,"RT @ConsiderThis1: My favorite was Hillary, Where was my opponent when I was working for healthcare in 93? @CaseyCat2007 https://t.co/cof2u…",positive
414,"RT @GeneMcVay: ★Are you tired of Magic Beans &amp; Pixie Dust peddled by Cruz &amp; Hillary?

Trump WILL:
Control our border
Bring our companies ba…",negative
415,RT @cvpayne: nobody believes Kasich beats Hillary ....do they ? https://t.co/qLCOaxLmat,negative
416,RT @AsheSchow: Some of the Left have finally turned on Lena Dunham… because she supports Hillary! —&gt,positive
417,"RT @AlisonSpalding2: Hillary is no prog
-PRO death pen
-ANTI legalizing mj
-PRO 4Profit prison
PRO FRACKING
-PRO WAR 
-ANTI #fightfor15 htt…",positive
418,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
419,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
420,Why Hillary Clinton Doesn’t Deserve the Black Vote https://t.co/k7Vun0zobx,negative
421,"RT @OurGreatAmerica: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/Jnqk3QrJkT",positive
422,@Maggyw519 @indepundit1 Hillary doesn't care about u. U are a willing sacrifice. U're just a vote to her. Get mad. Won't change a thing.✌💖🔥,positive
423,"RT @DiamondandSilk: Kasich, millions of  people got out &amp; voted for @realDonaldTrump.  Don't go against the will of the people.  Trump will…",negative
424,RT @jupiter896: HillaryClinton’s campaign just hit a major milestone:a Million donors https://t.co/35uZlMBecl ,positive
425,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
426,RT @umpire43: Hey Utah Take a look at who FUNDS CRUZ and Sanders and Hillary. I give you GEORGE SOROS- Wanted in Russia https://t.co/MKdcKh…,positive
427,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
430,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
431,"I'm not anti-Hillary--I'm just not pro-Hillary. I'm voting FOR a candidate, a candidate #ForThePeople.  Can y'all say #VoteTheBern? #Bernie",positive
432,RT @scottienhughes: WOW.. @realDonaldTrump getting standing ovation at ,negative
433,The only people who think @ChezPazienza is funny are Hillary's supporters. And similar Republicans. https://t.co/3VvSYHe0sx,negative
434,"RT @GirlNotes: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/F5Yfoccv5u",positive
435,RT @CrowbarEmoji: there's literally no lesser evil between Trump and Hillary lmao this is incredible // if i had to vote i would flip a coin,negative
436,'We need steady hands' says Hillary Clinton..Can we count on someone like her who flip flops convictions to have steady hands?,negative
437,RT @veryblockable: RNC Condemns Bill Kristol’s Anti-Trump Third Party as ‘Helping to Elect Hillary Clinton’ https://t.co/gDrXYSIVCk https:/…,negative
438,RT @politico: .@JillAbramson on @HillaryClinton: ‘She does get more scrutiny’ than men https://t.co/54hPQEVzeR https://t.co/l1drC5dLiL,positive
439,RT @peddoc63: Hillary goes after Wall Street Bankers for more cash💰 https://t.co/1wTB8FEuvs,positive
440,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
441,RT @vandives: Trump is sexist? No. But Hillary pandering for your vote because you're also a female.. Now that just might qualify.,negative
442,@GMA please support hillary and stop trump and bernie..she is a future to believe in,negative
443,I'm now convinced that Bill Clinton sabotages Hillary Clinton's campaigns on purpose. He's too smart to be this dumb https://t.co/7QwYu3yrao,positive
446,"@CNNPolitics @Don_Vito_08 
HILLARY CLINTON MAY WIND UP SUPPORTING TRUMP BEFORE THE RACE IS OVER. THESE POLLS ARE STATISTICAL NONSENSE.",negative
447,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
449,"RT @ProgBlacksmith: The way Hillary attaches herself to Obama &amp; says hes so wonderful, after attacking him viciously in 2008, is pathetic. …",negative
451,RT @nuttinbutdatru1: HAVE YOU NOT HEARD ABOUT OBAMA AND HILLARY?? THEY ARE EVEN MORE REPULSIVE!! https://t.co/EulNTUBumS,negative
452,RT @webs1934: @jackiemccaffrey Bernie is the reason I'm supporting Hillary. His campaign convinced me to vote for Hillary. I was none of th…,negative
453,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
454,"RT @JohnKasich: BREAKING: 2 new polls out tonight!

Only John Kasich defeats Hillary Clinton in November.

https://t.co/I0uZ3dnqmU
https://…",positive
455,This can't be good for Hillary. https://t.co/300tVcBc2l,negative
456,"RT @DylanByers: Donald Trump just hit Hillary Clinton for using a teleprompter at AIPAC, after he used a teleprompter at AIPAC.",negative
457,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
458,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
459,"RT @chanelpuke: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/wpEnyohvdN",positive
460,RT @Libertea2012: RT The polls show U don't trust Hillary AT ALL. Why in THE HELL would U vote 4 her to have the nuclear codes? https://t.c…,negative
461,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
462,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,negative
463,Help elect Hillary Clinton—without leaving the house. https://t.co/VkfRnEYKzm,positive
464,RT @Jerusalem_Post: Herzog to Hillary: Read my peace plan – when you get around to it https://t.co/dxBnbtPRqq ,positive
465,RT @CommonWhiteGirI: Who would you rather have as the President? RT for this Rock or like for Hillary https://t.co/d7xdlAFKkP,positive
466,RT @nancywriteon: Hillary Clinton for Nestle Toll House Cookies ,positive
467,Poll: Clinton trails only 1 in GOP:  https://t.co/UBcRlW4okU,positive
468,RT @PolitiFact: Clinton: Campaign 'depends on small donations for the majority of our support.' Mostly False https://t.co/l3rnmWgFUf https:…,negative
469,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
470,"RT @kgosztola: Hillary Clinton's unfavorability is apparently record-breaking, according to NYT poll https://t.co/QJlrV8HElY",negative
471,"Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/RXRntIyf6e https://t.co/pOmkfXxYTO",negative
472,"Donald Trump responds to Hillary Clinton: I have the steadiest hands, far steadier than hers https://t.co/3SsFjKO2Cm https://t.co/a6thkWjnaB",negative
473,"RT @WeNeedHillary: Hillary Is Strong
#ImWithHer #ShesWithUs #TNTweeters #FeelTheLove https://t.co/7F7BKvDUie",positive
474,"RT @TheFix: 6 in 10 GOPer say if no candidate gets a majority, delegates should vote for leading delegate-getter. https://t.co/ayrz8Xx2BO",positive
475,Poll: Clinton trails only 1 in GOP:  https://t.co/eYPx3UCHic,positive
476,"Hillary Clinton kissed the former KKK Robert Byrd. Snopes rated it ""TRUE""! https://t.co/bIaxtefFhC https://t.co/7Ml8gufOem",negative
477,"RT @OurGreatAmerica: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/Jnqk3QrJkT",positive
478,RT @EdMorrissey: Trump argues that he gives the GOP a chance to win New York. Three polls show no evidence of it. https://t.co/ATZxnHGKRQ,positive
479,RT @ReverendDrDash: Both the Hillary and Bernie have a hard time reconciling their disdain for Obama and the utility of riding his coattail…,positive
480,"RT @treyconners: again shows hillary LIED to congress #Benghazi

BOMBSHELL: US Was Smuggling Guns to Syria Through Benghazi Consulate https…",negative
481,RT @JoeSmithSDK: Is it true that Hillary Clinton is sending old peoples homes and disabled peoples homes absentee ballots ? ,positive
482,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
483,RT @ih8hillary: Hillary Clinton For Prison Funny Election Campaign T-Shirt - Male 3XL - Asphalt https://t.co/xREz3RFN92 (via Amazon) https:…,positive
484,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
485,"RT @expatina: If you’re in NV, please phone bank for Hillary. We want to make sure every single one of our delegates shows up at county con…",negative
486,"RT @CauseWereWasted: Who would you rather have as the President?
RT for this Rock or like for Hillary https://t.co/uAiBiKuhYZ",positive
487,"RT @RotNScoundrel: What do you call it when President Obama is in Cuba, Hillary Clinton is in prison and Bernie Sanders is in a nursing hom…",negative
488,@GentlemansHall In my dreams he's in Hillary's cabinet and Sanders is VP,negative
489,"RT @WeNeedHillary: Hillary Clinton 2016
The Real REVOLUTION
#ShesWithUs #ImWithHer #TNTweeters #HillYes #StandWithHillary #Hillary2016 http…",positive
490,"FBI ""Increasingly Certain"" Hillary Broke The Law, Stone-Walled By White House https://t.co/YQAsNkqg6u",negative
491,RT @BoycottAhava: Critics outraged by disgusting speech Hillary Clinton gave at ,negative
492,"RT @RichardAngwin: Hillary Clinton is wrong to oppose #FightFor15. Vote for a living wage
Elect Bernie Sanders!!
#FeelTheBern #tcot #1u htt…",negative
493,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
494,"RT @lhfang: What a coincidence, after big Hillary Super Tuesday win, stocks for defense contractors Lockheed, General Dynamics, Boeing, etc…",negative
495,"RT @jonfavs: Trump accuses Hillary of reading her AIPAC speech off a prompter, after he...reads his AIPAC speech off a prompter.",negative
496,Why are Trump and Hillary the only two candidates that the media talks about? This is why I hate news.,negative
497,"RT @NBCInvestigates: Clinton says majority of $ from small donations. @PolitiFact finds that ""mostly false."" https://t.co/Ry4ewdv8Q0 https:…",positive
498,"@JackBPR @len_volkel 

Is it surprising that @LindseyGrahamSC would prefer fellow open-borders globalist Hillary over @realDonaldTrump",positive
499,RT @RealJamesWoods: Email Reveals Hillary had YouTube Block Benghazi Videos - No surprise here... https://t.co/BOWYUjsYTF,negative
500,"RT @mikemitchellnyc: #Bernie says it's wrong to disrupt #Trump speeches--but wouldn't allow #Hillary to finish a sentence?
#msnbc #inners h…",negative
501,I'm sorry but I refuse to believe any senecio where  Kasich wins a landslide or where Cruz isn't beaten by Hillary https://t.co/n1K6ywamcn,negative
502,RT @BernieSanders: Wonder how many $27 contributions @HillaryClinton got at her fundraiser hosted by the NRA lobbyist: https://t.co/w8IHpJ5…,positive
503,RT @AmWarriorSocty: Anyone but Hillary. https://t.co/yCC4RfPUHX,negative
504,How Many People Actually Voted for Donald Trump and Hillary Clinton? Not Many - IVN.us https://t.co/R9FITopUQO,negative
