"","NA.","experience","Primary.specialty","grads"
"537","537",8,"CLINICAL NURSE SPECIALIST",55
"538","538",8,"CLINICAL PSYCHOLOGIST",527
"539","539",8,"CLINICAL SOCIAL WORKER",832
"540","540",8,"COLORECTAL SURGERY (PROCTOLOGY)",33
"541","541",8,"CRITICAL CARE (INTENSIVISTS)",96
"542","542",8,"DERMATOLOGY",289
"543","543",8,"DIAGNOSTIC RADIOLOGY",771
"544","544",8,"EMERGENCY MEDICINE",536
"545","545",8,"ENDOCRINOLOGY",140
"546","546",8,"FAMILY PRACTICE",1938
"547","547",8,"GASTROENTEROLOGY",269
"548","548",8,"GENERAL PRACTICE",75
"549","549",8,"GENERAL SURGERY",480
"550","550",8,"GERIATRIC MEDICINE",38
"551","551",8,"GERIATRIC PSYCHIATRY",1
"552","552",8,"GYNECOLOGICAL ONCOLOGY",25
"553","553",8,"HAND SURGERY",35
"554","554",8,"HEMATOLOGY",17
"555","555",8,"HEMATOLOGY/ONCOLOGY",184
"556","556",8,"HOSPICE/PALLIATIVE CARE",31
"557","557",8,"INFECTIOUS DISEASE",131
"558","558",8,"INTERNAL MEDICINE",2514
"559","559",8,"INTERVENTIONAL CARDIOLOGY",40
"560","560",8,"INTERVENTIONAL PAIN MANAGEMENT",22
"561","561",8,"INTERVENTIONAL RADIOLOGY",45
"562","562",8,"MAXILLOFACIAL SURGERY",28
"563","563",8,"MEDICAL ONCOLOGY",53
"564","564",8,"NEPHROLOGY",161
"565","565",8,"NEUROLOGY",362
"566","566",8,"NEUROPSYCHIATRY",3
"567","567",8,"NEUROSURGERY",134
"568","568",8,"NUCLEAR MEDICINE",2
"569","569",8,"NURSE PRACTITIONER",2991
"570","570",8,"OBSTETRICS/GYNECOLOGY",800
"571","571",8,"OCCUPATIONAL THERAPY",106
"572","572",8,"OPHTHALMOLOGY",368
"573","573",8,"OPTOMETRY",663
"574","574",8,"ORAL SURGERY (DENTIST ONLY)",30
"575","575",8,"ORTHOPEDIC SURGERY",554
"576","576",8,"OSTEOPATHIC MANIPULATIVE MEDICINE",20
"577","577",8,"OTOLARYNGOLOGY",221
"578","578",8,"PAIN MANAGEMENT",59
"579","579",8,"PATHOLOGY",232
"580","580",8,"PEDIATRIC MEDICINE",237
"581","581",8,"PHYSICAL MEDICINE AND REHABILITATION",211
"582","582",8,"PHYSICAL THERAPY",1155
"583","583",8,"PHYSICIAN ASSISTANT",72
"584","584",8,"PLASTIC AND RECONSTRUCTIVE SURGERY",87
"585","585",8,"PODIATRY",241
"586","586",8,"PREVENTATIVE MEDICINE",3
"587","587",8,"PSYCHIATRY",446
"588","588",8,"PULMONARY DISEASE",221
"589","589",8,"RADIATION ONCOLOGY",121
"590","590",8,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",69
"591","591",8,"RHEUMATOLOGY",103
"592","592",8,"SLEEP LABORATORY/MEDICINE",15
"593","593",8,"SPEECH LANGUAGE PATHOLOGIST",55
"594","594",8,"SPORTS MEDICINE",37
"595","595",8,"SURGICAL ONCOLOGY",12
"596","596",8,"THORACIC SURGERY",16
"597","597",8,"UNDEFINED NON-PHYSICIAN TYPE (SPECIFY)",2
"598","598",8,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",6
"599","599",8,"UROLOGY",208
"600","600",8,"VASCULAR SURGERY",58
"601","601",9,"ADDICTION MEDICINE",3
"602","602",9,"ALLERGY/IMMUNOLOGY",59
"603","603",9,"ANESTHESIOLOGY",1104
"604","604",9,"ANESTHESIOLOGY ASSISTANT",35
"605","605",9,"AUDIOLOGIST",267
"606","606",9,"CARDIAC ELECTROPHYSIOLOGY",34
"607","607",9,"CARDIAC SURGERY",10
"608","608",9,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",404
"609","609",9,"CERTIFIED NURSE MIDWIFE",68
"610","610",9,"CERTIFIED REGISTERED NURSE ANESTHETIST",1373
"611","611",9,"CHIROPRACTIC",925
"612","612",9,"CLINICAL NURSE SPECIALIST",38
"613","613",9,"CLINICAL PSYCHOLOGIST",474
"614","614",9,"CLINICAL SOCIAL WORKER",835
"615","615",9,"COLORECTAL SURGERY (PROCTOLOGY)",50
"616","616",9,"CRITICAL CARE (INTENSIVISTS)",114
"617","617",9,"DERMATOLOGY",289
"618","618",9,"DIAGNOSTIC RADIOLOGY",744
"619","619",9,"EMERGENCY MEDICINE",533
"620","620",9,"ENDOCRINOLOGY",162
"621","621",9,"FAMILY PRACTICE",1863
"622","622",9,"GASTROENTEROLOGY",290
"623","623",9,"GENERAL PRACTICE",92
"624","624",9,"GENERAL SURGERY",508
"625","625",9,"GERIATRIC MEDICINE",33
"626","626",9,"GERIATRIC PSYCHIATRY",2
"627","627",9,"GYNECOLOGICAL ONCOLOGY",22
"628","628",9,"HAND SURGERY",36
"629","629",9,"HEMATOLOGY",19
"630","630",9,"HEMATOLOGY/ONCOLOGY",202
"631","631",9,"HOSPICE/PALLIATIVE CARE",34
"632","632",9,"INFECTIOUS DISEASE",129
"633","633",9,"INTERNAL MEDICINE",2514
"634","634",9,"INTERVENTIONAL CARDIOLOGY",65
"635","635",9,"INTERVENTIONAL PAIN MANAGEMENT",32
"636","636",9,"INTERVENTIONAL RADIOLOGY",47
"637","637",9,"MAXILLOFACIAL SURGERY",19
"638","638",9,"MEDICAL ONCOLOGY",65
"639","639",9,"NEPHROLOGY",188
"640","640",9,"NEUROLOGY",354
"641","641",9,"NEUROPSYCHIATRY",5
"642","642",9,"NEUROSURGERY",139
"643","643",9,"NUCLEAR MEDICINE",7
"644","644",9,"NURSE PRACTITIONER",2657
"645","645",9,"OBSTETRICS/GYNECOLOGY",716
"646","646",9,"OCCUPATIONAL THERAPY",88
"647","647",9,"OPHTHALMOLOGY",337
"648","648",9,"OPTOMETRY",668
"649","649",9,"ORAL SURGERY (DENTIST ONLY)",29
"650","650",9,"ORTHOPEDIC SURGERY",534
"651","651",9,"OSTEOPATHIC MANIPULATIVE MEDICINE",14
"652","652",9,"OTOLARYNGOLOGY",208
"653","653",9,"PAIN MANAGEMENT",62
"654","654",9,"PATHOLOGY",265
"655","655",9,"PEDIATRIC MEDICINE",284
"656","656",9,"PERIPHERAL VASCULAR DISEASE",1
"657","657",9,"PHYSICAL MEDICINE AND REHABILITATION",220
"658","658",9,"PHYSICAL THERAPY",1128
"659","659",9,"PHYSICIAN ASSISTANT",71
"660","660",9,"PLASTIC AND RECONSTRUCTIVE SURGERY",104
"661","661",9,"PODIATRY",262
"662","662",9,"PREVENTATIVE MEDICINE",6
"663","663",9,"PSYCHIATRY",439
"664","664",9,"PULMONARY DISEASE",205
"665","665",9,"RADIATION ONCOLOGY",120
"666","666",9,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",77
"667","667",9,"RHEUMATOLOGY",103
"668","668",9,"SLEEP LABORATORY/MEDICINE",8
"669","669",9,"SPEECH LANGUAGE PATHOLOGIST",55
"670","670",9,"SPORTS MEDICINE",33
"671","671",9,"SURGICAL ONCOLOGY",26
"672","672",9,"THORACIC SURGERY",26
"673","673",9,"UNDEFINED NON-PHYSICIAN TYPE (SPECIFY)",1
"674","674",9,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",7
"675","675",9,"UROLOGY",201
"676","676",9,"VASCULAR SURGERY",67
"677","677",10,"ADDICTION MEDICINE",2
"678","678",10,"ALLERGY/IMMUNOLOGY",78
"679","679",10,"ANESTHESIOLOGY",1031
"680","680",10,"ANESTHESIOLOGY ASSISTANT",36
"681","681",10,"AUDIOLOGIST",245
"682","682",10,"CARDIAC ELECTROPHYSIOLOGY",64
"683","683",10,"CARDIAC SURGERY",28
"684","684",10,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",383
"685","685",10,"CERTIFIED NURSE MIDWIFE",55
"686","686",10,"CERTIFIED REGISTERED NURSE ANESTHETIST",1278
"687","687",10,"CHIROPRACTIC",889
"688","688",10,"CLINICAL NURSE SPECIALIST",51
"689","689",10,"CLINICAL PSYCHOLOGIST",469
"690","690",10,"CLINICAL SOCIAL WORKER",847
"691","691",10,"COLORECTAL SURGERY (PROCTOLOGY)",41
"692","692",10,"CRITICAL CARE (INTENSIVISTS)",115
"693","693",10,"DERMATOLOGY",288
"694","694",10,"DIAGNOSTIC RADIOLOGY",775
"695","695",10,"EMERGENCY MEDICINE",498
"696","696",10,"ENDOCRINOLOGY",156
"697","697",10,"FAMILY PRACTICE",1929
"698","698",10,"GASTROENTEROLOGY",284
"699","699",10,"GENERAL PRACTICE",98
"700","700",10,"GENERAL SURGERY",493
"701","701",10,"GERIATRIC MEDICINE",36
"702","702",10,"GERIATRIC PSYCHIATRY",5
"703","703",10,"GYNECOLOGICAL ONCOLOGY",31
"704","704",10,"HAND SURGERY",52
"705","705",10,"HEMATOLOGY",14
"706","706",10,"HEMATOLOGY/ONCOLOGY",239
"707","707",10,"HOSPICE/PALLIATIVE CARE",32
"708","708",10,"INFECTIOUS DISEASE",150
"709","709",10,"INTERNAL MEDICINE",2538
"710","710",10,"INTERVENTIONAL CARDIOLOGY",54
"711","711",10,"INTERVENTIONAL PAIN MANAGEMENT",38
"712","712",10,"INTERVENTIONAL RADIOLOGY",34
"713","713",10,"MAXILLOFACIAL SURGERY",25
"714","714",10,"MEDICAL ONCOLOGY",66
"715","715",10,"NEPHROLOGY",215
"716","716",10,"NEUROLOGY",390
"717","717",10,"NEUROPSYCHIATRY",2
"718","718",10,"NEUROSURGERY",123
"719","719",10,"NUCLEAR MEDICINE",1
"720","720",10,"NURSE PRACTITIONER",2470
"721","721",10,"OBSTETRICS/GYNECOLOGY",678
"722","722",10,"OCCUPATIONAL THERAPY",75
"723","723",10,"OPHTHALMOLOGY",337
"724","724",10,"OPTOMETRY",684
"725","725",10,"ORAL SURGERY (DENTIST ONLY)",31
"726","726",10,"ORTHOPEDIC SURGERY",536
"727","727",10,"OSTEOPATHIC MANIPULATIVE MEDICINE",20
"728","728",10,"OTOLARYNGOLOGY",199
"729","729",10,"PAIN MANAGEMENT",71
"730","730",10,"PATHOLOGY",283
"731","731",10,"PEDIATRIC MEDICINE",246
"732","732",10,"PERIPHERAL VASCULAR DISEASE",1
"733","733",10,"PHYSICAL MEDICINE AND REHABILITATION",221
"734","734",10,"PHYSICAL THERAPY",1090
"735","735",10,"PHYSICIAN ASSISTANT",61
"736","736",10,"PLASTIC AND RECONSTRUCTIVE SURGERY",112
"737","737",10,"PODIATRY",231
"738","738",10,"PREVENTATIVE MEDICINE",7
"739","739",10,"PSYCHIATRY",464
"740","740",10,"PULMONARY DISEASE",236
"741","741",10,"RADIATION ONCOLOGY",121
"742","742",10,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",69
"743","743",10,"RHEUMATOLOGY",111
"744","744",10,"SLEEP LABORATORY/MEDICINE",11
"745","745",10,"SPEECH LANGUAGE PATHOLOGIST",48
"746","746",10,"SPORTS MEDICINE",39
"747","747",10,"SURGICAL ONCOLOGY",25
"748","748",10,"THORACIC SURGERY",29
"749","749",10,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",7
"750","750",10,"UROLOGY",208
"751","751",10,"VASCULAR SURGERY",74
"752","752",11,"ALLERGY/IMMUNOLOGY",62
"753","753",11,"ANESTHESIOLOGY",1020
"754","754",11,"ANESTHESIOLOGY ASSISTANT",32
"755","755",11,"AUDIOLOGIST",214
"756","756",11,"CARDIAC ELECTROPHYSIOLOGY",54
"757","757",11,"CARDIAC SURGERY",21
"758","758",11,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",422
"759","759",11,"CERTIFIED NURSE MIDWIFE",67
"760","760",11,"CERTIFIED REGISTERED NURSE ANESTHETIST",1158
"761","761",11,"CHIROPRACTIC",973
"762","762",11,"CLINICAL NURSE SPECIALIST",53
"763","763",11,"CLINICAL PSYCHOLOGIST",486
"764","764",11,"CLINICAL SOCIAL WORKER",827
"765","765",11,"COLORECTAL SURGERY (PROCTOLOGY)",46
"766","766",11,"CRITICAL CARE (INTENSIVISTS)",137
"767","767",11,"DERMATOLOGY",300
"768","768",11,"DIAGNOSTIC RADIOLOGY",851
"769","769",11,"EMERGENCY MEDICINE",529
"770","770",11,"ENDOCRINOLOGY",182
"771","771",11,"FAMILY PRACTICE",2023
"772","772",11,"GASTROENTEROLOGY",316
"773","773",11,"GENERAL PRACTICE",90
"774","774",11,"GENERAL SURGERY",574
"775","775",11,"GERIATRIC MEDICINE",35
"776","776",11,"GERIATRIC PSYCHIATRY",8
"777","777",11,"GYNECOLOGICAL ONCOLOGY",20
"778","778",11,"HAND SURGERY",41
"779","779",11,"HEMATOLOGY",12
"780","780",11,"HEMATOLOGY/ONCOLOGY",224
"781","781",11,"HOSPICE/PALLIATIVE CARE",36
"782","782",11,"INFECTIOUS DISEASE",172
"783","783",11,"INTERNAL MEDICINE",2447
"784","784",11,"INTERVENTIONAL CARDIOLOGY",69
"785","785",11,"INTERVENTIONAL PAIN MANAGEMENT",44
"786","786",11,"INTERVENTIONAL RADIOLOGY",44
"787","787",11,"MAXILLOFACIAL SURGERY",14
"788","788",11,"MEDICAL ONCOLOGY",78
"789","789",11,"NEPHROLOGY",250
"790","790",11,"NEUROLOGY",377
"791","791",11,"NEUROPSYCHIATRY",2
"792","792",11,"NEUROSURGERY",132
"793","793",11,"NUCLEAR MEDICINE",10
"794","794",11,"NURSE PRACTITIONER",2129
"795","795",11,"OBSTETRICS/GYNECOLOGY",733
"796","796",11,"OCCUPATIONAL THERAPY",89
"797","797",11,"OPHTHALMOLOGY",349
"798","798",11,"OPTOMETRY",698
"799","799",11,"ORAL SURGERY (DENTIST ONLY)",32
"800","800",11,"ORTHOPEDIC SURGERY",539
"801","801",11,"OSTEOPATHIC MANIPULATIVE MEDICINE",17
"802","802",11,"OTOLARYNGOLOGY",219
"803","803",11,"PAIN MANAGEMENT",64
"804","804",11,"PATHOLOGY",276
"805","805",11,"PEDIATRIC MEDICINE",249
"806","806",11,"PHYSICAL MEDICINE AND REHABILITATION",235
"807","807",11,"PHYSICAL THERAPY",918
"808","808",11,"PHYSICIAN ASSISTANT",70
"809","809",11,"PLASTIC AND RECONSTRUCTIVE SURGERY",134
"810","810",11,"PODIATRY",242
"811","811",11,"PREVENTATIVE MEDICINE",10
"812","812",11,"PSYCHIATRY",489
"813","813",11,"PULMONARY DISEASE",250
"814","814",11,"RADIATION ONCOLOGY",122
"815","815",11,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",63
"816","816",11,"RHEUMATOLOGY",131
"817","817",11,"SLEEP LABORATORY/MEDICINE",7
"818","818",11,"SPEECH LANGUAGE PATHOLOGIST",33
"819","819",11,"SPORTS MEDICINE",38
"820","820",11,"SURGICAL ONCOLOGY",36
"821","821",11,"THORACIC SURGERY",35
"822","822",11,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",10
"823","823",11,"UROLOGY",194
"824","824",11,"VASCULAR SURGERY",70
"825","825",12,"ADDICTION MEDICINE",2
"826","826",12,"ALLERGY/IMMUNOLOGY",83
"827","827",12,"ANESTHESIOLOGY",1098
"828","828",12,"ANESTHESIOLOGY ASSISTANT",30
"829","829",12,"AUDIOLOGIST",243
"830","830",12,"CARDIAC ELECTROPHYSIOLOGY",66
"831","831",12,"CARDIAC SURGERY",14
"832","832",12,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",466
"833","833",12,"CERTIFIED NURSE MIDWIFE",60
"834","834",12,"CERTIFIED REGISTERED NURSE ANESTHETIST",1070
"835","835",12,"CHIROPRACTIC",920
"836","836",12,"CLINICAL NURSE SPECIALIST",40
"837","837",12,"CLINICAL PSYCHOLOGIST",501
"838","838",12,"CLINICAL SOCIAL WORKER",761
"839","839",12,"COLORECTAL SURGERY (PROCTOLOGY)",38
"840","840",12,"CRITICAL CARE (INTENSIVISTS)",133
"841","841",12,"DERMATOLOGY",317
"842","842",12,"DIAGNOSTIC RADIOLOGY",843
"843","843",12,"EMERGENCY MEDICINE",502
"844","844",12,"ENDOCRINOLOGY",186
"845","845",12,"FAMILY PRACTICE",2023
"846","846",12,"GASTROENTEROLOGY",343
"847","847",12,"GENERAL PRACTICE",92
"848","848",12,"GENERAL SURGERY",510
"849","849",12,"GERIATRIC MEDICINE",39
"850","850",12,"GERIATRIC PSYCHIATRY",7
"851","851",12,"GYNECOLOGICAL ONCOLOGY",34
"852","852",12,"HAND SURGERY",41
"853","853",12,"HEMATOLOGY",17
"854","854",12,"HEMATOLOGY/ONCOLOGY",247
"855","855",12,"HOSPICE/PALLIATIVE CARE",31
"856","856",12,"INFECTIOUS DISEASE",158
"857","857",12,"INTERNAL MEDICINE",2460
"858","858",12,"INTERVENTIONAL CARDIOLOGY",64
"859","859",12,"INTERVENTIONAL PAIN MANAGEMENT",36
"860","860",12,"INTERVENTIONAL RADIOLOGY",47
"861","861",12,"MAXILLOFACIAL SURGERY",26
"862","862",12,"MEDICAL ONCOLOGY",86
"863","863",12,"NEPHROLOGY",268
"864","864",12,"NEUROLOGY",378
"865","865",12,"NEUROPSYCHIATRY",1
"866","866",12,"NEUROSURGERY",140
"867","867",12,"NUCLEAR MEDICINE",5
"868","868",12,"NURSE PRACTITIONER",2070
"869","869",12,"OBSTETRICS/GYNECOLOGY",700
"870","870",12,"OCCUPATIONAL THERAPY",103
"871","871",12,"OPHTHALMOLOGY",341
"872","872",12,"OPTOMETRY",676
"873","873",12,"ORAL SURGERY (DENTIST ONLY)",40
"874","874",12,"ORTHOPEDIC SURGERY",535
"875","875",12,"OSTEOPATHIC MANIPULATIVE MEDICINE",18
"876","876",12,"OTOLARYNGOLOGY",208
"877","877",12,"PAIN MANAGEMENT",62
"878","878",12,"PATHOLOGY",256
"879","879",12,"PEDIATRIC MEDICINE",243
"880","880",12,"PERIPHERAL VASCULAR DISEASE",1
"881","881",12,"PHYSICAL MEDICINE AND REHABILITATION",203
"882","882",12,"PHYSICAL THERAPY",991
"883","883",12,"PHYSICIAN ASSISTANT",74
"884","884",12,"PLASTIC AND RECONSTRUCTIVE SURGERY",147
"885","885",12,"PODIATRY",291
"886","886",12,"PREVENTATIVE MEDICINE",4
"887","887",12,"PSYCHIATRY",425
"888","888",12,"PULMONARY DISEASE",235
"889","889",12,"RADIATION ONCOLOGY",122
"890","890",12,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",69
"891","891",12,"RHEUMATOLOGY",116
"892","892",12,"SLEEP LABORATORY/MEDICINE",8
"893","893",12,"SPEECH LANGUAGE PATHOLOGIST",38
"894","894",12,"SPORTS MEDICINE",47
"895","895",12,"SURGICAL ONCOLOGY",43
"896","896",12,"THORACIC SURGERY",38
"897","897",12,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",10
"898","898",12,"UROLOGY",206
"899","899",12,"VASCULAR SURGERY",88
"900","900",13,"ADDICTION MEDICINE",2
"901","901",13,"ALLERGY/IMMUNOLOGY",89
"902","902",13,"ANESTHESIOLOGY",1046
"903","903",13,"ANESTHESIOLOGY ASSISTANT",26
"904","904",13,"AUDIOLOGIST",221
"905","905",13,"CARDIAC ELECTROPHYSIOLOGY",81
"906","906",13,"CARDIAC SURGERY",29
"907","907",13,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",479
"908","908",13,"CERTIFIED NURSE MIDWIFE",83
"909","909",13,"CERTIFIED REGISTERED NURSE ANESTHETIST",960
"910","910",13,"CHIROPRACTIC",990
"911","911",13,"CLINICAL NURSE SPECIALIST",56
"912","912",13,"CLINICAL PSYCHOLOGIST",484
"913","913",13,"CLINICAL SOCIAL WORKER",779
"914","914",13,"COLORECTAL SURGERY (PROCTOLOGY)",41
"915","915",13,"CRITICAL CARE (INTENSIVISTS)",115
"916","916",13,"DERMATOLOGY",297
"917","917",13,"DIAGNOSTIC RADIOLOGY",835
"918","918",13,"EMERGENCY MEDICINE",502
"919","919",13,"ENDOCRINOLOGY",165
"920","920",13,"FAMILY PRACTICE",2146
"921","921",13,"GASTROENTEROLOGY",329
"922","922",13,"GENERAL PRACTICE",102
"923","923",13,"GENERAL SURGERY",460
"924","924",13,"GERIATRIC MEDICINE",30
"925","925",13,"GERIATRIC PSYCHIATRY",4
"926","926",13,"GYNECOLOGICAL ONCOLOGY",28
"927","927",13,"HAND SURGERY",35
"928","928",13,"HEMATOLOGY",22
"929","929",13,"HEMATOLOGY/ONCOLOGY",272
"930","930",13,"HOSPICE/PALLIATIVE CARE",31
"931","931",13,"INFECTIOUS DISEASE",179
"932","932",13,"INTERNAL MEDICINE",2479
"933","933",13,"INTERVENTIONAL CARDIOLOGY",61
"934","934",13,"INTERVENTIONAL PAIN MANAGEMENT",52
"935","935",13,"INTERVENTIONAL RADIOLOGY",39
"936","936",13,"MAXILLOFACIAL SURGERY",20
"937","937",13,"MEDICAL ONCOLOGY",93
"938","938",13,"NEPHROLOGY",261
"939","939",13,"NEUROLOGY",385
"940","940",13,"NEUROPSYCHIATRY",1
"941","941",13,"NEUROSURGERY",131
"942","942",13,"NUCLEAR MEDICINE",15
"943","943",13,"NURSE PRACTITIONER",2066
"944","944",13,"OBSTETRICS/GYNECOLOGY",740
"945","945",13,"OCCUPATIONAL THERAPY",117
"946","946",13,"OPHTHALMOLOGY",360
"947","947",13,"OPTOMETRY",661
"948","948",13,"ORAL SURGERY (DENTIST ONLY)",33
"949","949",13,"ORTHOPEDIC SURGERY",527
"950","950",13,"OSTEOPATHIC MANIPULATIVE MEDICINE",18
"951","951",13,"OTOLARYNGOLOGY",220
"952","952",13,"PAIN MANAGEMENT",58
"953","953",13,"PATHOLOGY",224
"954","954",13,"PEDIATRIC MEDICINE",224
"955","955",13,"PERIPHERAL VASCULAR DISEASE",3
"956","956",13,"PHYSICAL MEDICINE AND REHABILITATION",209
"957","957",13,"PHYSICAL THERAPY",1163
"958","958",13,"PHYSICIAN ASSISTANT",59
"959","959",13,"PLASTIC AND RECONSTRUCTIVE SURGERY",132
"960","960",13,"PODIATRY",330
"961","961",13,"PREVENTATIVE MEDICINE",7
"962","962",13,"PSYCHIATRY",468
"963","963",13,"PULMONARY DISEASE",273
"964","964",13,"RADIATION ONCOLOGY",106
"965","965",13,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",58
"966","966",13,"RHEUMATOLOGY",111
"967","967",13,"SLEEP LABORATORY/MEDICINE",16
"968","968",13,"SPEECH LANGUAGE PATHOLOGIST",50
"969","969",13,"SPORTS MEDICINE",34
"970","970",13,"SURGICAL ONCOLOGY",27
"971","971",13,"THORACIC SURGERY",44
"972","972",13,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",9
"973","973",13,"UROLOGY",191
"974","974",13,"VASCULAR SURGERY",92
"975","975",14,"ALLERGY/IMMUNOLOGY",78
"976","976",14,"ANESTHESIOLOGY",1062
"977","977",14,"ANESTHESIOLOGY ASSISTANT",21
"978","978",14,"AUDIOLOGIST",193
"979","979",14,"CARDIAC ELECTROPHYSIOLOGY",70
"980","980",14,"CARDIAC SURGERY",29
"981","981",14,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",487
"982","982",14,"CERTIFIED NURSE MIDWIFE",87
"983","983",14,"CERTIFIED REGISTERED NURSE ANESTHETIST",810
"984","984",14,"CHIROPRACTIC",1284
"985","985",14,"CLINICAL NURSE SPECIALIST",58
"986","986",14,"CLINICAL PSYCHOLOGIST",542
"987","987",14,"CLINICAL SOCIAL WORKER",850
"988","988",14,"COLORECTAL SURGERY (PROCTOLOGY)",44
"989","989",14,"CRITICAL CARE (INTENSIVISTS)",131
"990","990",14,"DERMATOLOGY",288
"991","991",14,"DIAGNOSTIC RADIOLOGY",851
"992","992",14,"EMERGENCY MEDICINE",490
"993","993",14,"ENDOCRINOLOGY",159
"994","994",14,"FAMILY PRACTICE",2157
"995","995",14,"GASTROENTEROLOGY",350
"996","996",14,"GENERAL PRACTICE",90
"997","997",14,"GENERAL SURGERY",513
"998","998",14,"GERIATRIC MEDICINE",39
"999","999",14,"GERIATRIC PSYCHIATRY",3
"1000","1000",14,"GYNECOLOGICAL ONCOLOGY",27
"1001","1001",14,"HAND SURGERY",45
"1002","1002",14,"HEMATOLOGY",21
"1003","1003",14,"HEMATOLOGY/ONCOLOGY",296
"1004","1004",14,"HOSPICE/PALLIATIVE CARE",23
"1005","1005",14,"INFECTIOUS DISEASE",199
"1006","1006",14,"INTERNAL MEDICINE",2567
"1007","1007",14,"INTERVENTIONAL CARDIOLOGY",69
"1008","1008",14,"INTERVENTIONAL PAIN MANAGEMENT",47
"1009","1009",14,"INTERVENTIONAL RADIOLOGY",37
"1010","1010",14,"MAXILLOFACIAL SURGERY",25
"1011","1011",14,"MEDICAL ONCOLOGY",97
"1012","1012",14,"NEPHROLOGY",293
"1013","1013",14,"NEUROLOGY",337
"1014","1014",14,"NEUROPSYCHIATRY",1
"1015","1015",14,"NEUROSURGERY",129
"1016","1016",14,"NUCLEAR MEDICINE",19
"1017","1017",14,"NURSE PRACTITIONER",2215
"1018","1018",14,"OBSTETRICS/GYNECOLOGY",716
"1019","1019",14,"OCCUPATIONAL THERAPY",166
"1020","1020",14,"OPHTHALMOLOGY",375
"1021","1021",14,"OPTOMETRY",674
"1022","1022",14,"ORAL SURGERY (DENTIST ONLY)",37
"1023","1023",14,"ORTHOPEDIC SURGERY",529
"1024","1024",14,"OSTEOPATHIC MANIPULATIVE MEDICINE",24
"1025","1025",14,"OTOLARYNGOLOGY",213
"1026","1026",14,"PAIN MANAGEMENT",50
"1027","1027",14,"PATHOLOGY",217
"1028","1028",14,"PEDIATRIC MEDICINE",242
"1029","1029",14,"PERIPHERAL VASCULAR DISEASE",4
"1030","1030",14,"PHYSICAL MEDICINE AND REHABILITATION",197
"1031","1031",14,"PHYSICAL THERAPY",1308
"1032","1032",14,"PHYSICIAN ASSISTANT",74
"1033","1033",14,"PLASTIC AND RECONSTRUCTIVE SURGERY",122
"1034","1034",14,"PODIATRY",391
"1035","1035",14,"PREVENTATIVE MEDICINE",7
"1036","1036",14,"PSYCHIATRY",464
"1037","1037",14,"PULMONARY DISEASE",269
"1038","1038",14,"RADIATION ONCOLOGY",127
"1039","1039",14,"REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL",78
"1040","1040",14,"RHEUMATOLOGY",135
"1041","1041",14,"SLEEP LABORATORY/MEDICINE",9
"1042","1042",14,"SPEECH LANGUAGE PATHOLOGIST",42
"1043","1043",14,"SPORTS MEDICINE",27
"1044","1044",14,"SURGICAL ONCOLOGY",20
"1045","1045",14,"THORACIC SURGERY",54
"1046","1046",14,"UNDEFINED PHYSICIAN TYPE (SPECIFY)",12
"1047","1047",14,"UROLOGY",183
"1048","1048",14,"VASCULAR SURGERY",91
"1049","1049",15,"ADDICTION MEDICINE",1
"1050","1050",15,"ALLERGY/IMMUNOLOGY",100
"1051","1051",15,"ANESTHESIOLOGY",841
"1052","1052",15,"ANESTHESIOLOGY ASSISTANT",17
"1053","1053",15,"AUDIOLOGIST",189
"1054","1054",15,"CARDIAC ELECTROPHYSIOLOGY",73
"1055","1055",15,"CARDIAC SURGERY",27
"1056","1056",15,"CARDIOVASCULAR DISEASE (CARDIOLOGY)",481
"1057","1057",15,"CERTIFIED NURSE MIDWIFE",93
"1058","1058",15,"CERTIFIED REGISTERED NURSE ANESTHETIST",757
"1059","1059",15,"CHIROPRACTIC",1350
"1060","1060",15,"CLINICAL NURSE SPECIALIST",38
"1061","1061",15,"CLINICAL PSYCHOLOGIST",571
"1062","1062",15,"CLINICAL SOCIAL WORKER",838
"1063","1063",15,"COLORECTAL SURGERY (PROCTOLOGY)",54
"1064","1064",15,"CRITICAL CARE (INTENSIVISTS)",117
"1065","1065",15,"DERMATOLOGY",287
"1066","1066",15,"DIAGNOSTIC RADIOLOGY",833
"1067","1067",15,"EMERGENCY MEDICINE",463
