Date,Opponent,Promotion
8/20/15,Indians,"Yankees Microfiber Cloth NightPresented By The Parking Spot | 1st 18,000 Guests"
8/21/15,Indians,"Yankees Water Bottle NightPresented By Budweiser | 1st 18,000 Guests 21 and older"
8/22/15,Indians,Jorge Posada DayJorge Posada Collector CardPresented By Yankees - Steiner Collectibles | All Guests
8/23/15,Indians,Andy Pettitte DayAndy Pettitte Collector CardPresented By Yankees - Steiner Collectibles | All Guests
8/24/15,Astros,"Jacoby Ellsbury Bobblehead NightPresented By AT&T | 1st 18,000 Guests"
8/25/15,Astros,"Cap NightPresented By Cooper Tire | 1st 18,000 Guests"
8/26/15,Astros,"Poster DayPresented By Catch 24 Advertising | 1st 18,000 Guests 14 and younger"
8/17/16,Blue Jays,"Buy TicketsMasterCard Half-Price GameBuy TicketsYankees Growth Chart DayPresented By Catch 24 Advertising | 1st 10,000 Guests 14 and younger"
8/16/16,Blue Jays,"Buy TicketsYankees Coloring Book NightPresented By Party City | 1st 18,000 Guests 14 and younger"
8/7/16,Indians,"Buy TicketsDidi Gregorius Bobblehead DayPresented By AT&T | 1st 18,000 Guests"
8/14/16,Rays,Buy TicketsMariano Rivera Monument Park Plaque Dedication Day
8/27/16,Orioles,"Buy TicketsYankees Collectible Truck Day - 12th in a seriesPresented By W.B. Mason | 1st 18,000 Guests 14 and younger"
8/13/16,Rays,Buy Tickets1996 World Series Champions 20th Anniversary Celebration Ceremony
8/26/16,Orioles,"Buy TicketsYankees Mason Jar NightPresented By Budweiser | 1st 18,000 Guests 21 and older"
4/16/09,Indians,Inaugural Season Opening Day Commemorative PinAll Fans
4/17/09,Indians,2009 Magnetic Schedule DayPresented By AT&T | All Fans
4/18/09,Indians,Calendar DayPresented By Subway | All Fans
4/19/09,Indians,Calendar DayPresented By Subway | All Fans
4/16/10,Rangers,Magnetic Schedule NightPresented By AT&T | All Fans
4/17/10,Rangers,Calendar DayPresented By Subway | All Fans
4/18/10,Rangers,Calendar DayPresented By Subway | All Fans
4/2/11,Tigers,Calendar DayPresented By Subway | All Guests in attendance
4/3/11,Tigers,Calendar DayPresented By Subway | All Guests in attendance
4/4/11,Twins,2011 Commemorative Cap NightPresented By H&R Block | All Guests in attendance$5 Games Ticket Special | More Info Family Game Ticket Special | More Info 
4/5/11,Twins,"New York Yankees Insulated Can Cooler NightPresented By Pepsi Max | 1st 18,000 Guests$5 Games Ticket Special | More Info Tuesday Night Games Ticket Special | More Info Family Game Ticket Special | More Info "
4/7/11,Twins,$5 Games Ticket Special | More Info Family Game Ticket Special | More Info 
4/13/11,Orioles,$5 Games Ticket Special | More Info Family Game Ticket Special | More Info 
4/14/11,Orioles,$5 Games Ticket Special | More Info Family Game Ticket Special | More Info 
4/16/11,Rangers,Magnetic Schedule DayPresented By AT&T | All Guests in attendance
4/17/11,Rangers,"Six Flags Great Adventure Kids Certificate NightPresented By Six Flags Great Adventure | 1st 18,000 Guests 14 and younger"
4/25/11,White Sox,$5 Games Ticket Special | More Info Family Game Ticket Special | More Info 
4/26/11,White Sox,$5 Games Ticket Special | More Info Tuesday Night Games Ticket Special | More Info Family Game Ticket Special | More Info 
4/27/11,White Sox,Family Game Ticket Special | More Info 
4/28/11,White Sox,"Keep America Beautiful - Flower Seed Packet NightPresented By Keep America Beautiful | 1st 18,000 GuestsFamily Game Ticket Special | More Info "
4/16/12,Twins,"""Pitch For A Million Dollars"" Game Card NightPresented By Daily News | All Guests"
4/18/12,Twins,"Keep America Beautiful - Tomato Seed Packet NightPresented By Keep America Beautiful | 1st 18,000 Guests"
4/19/12,Twins,Magnetic Schedule NightPresented By AT&T | All Guests
4/28/12,Tigers,"Waterproof Beach Wallet DayPresented By Disney Cruise Line  | 1st 18,000 Guests"
4/29/12,Tigers,"Yankees Stopwatch DayPresented By New York Presbyterian Hospital | 1st 18,000 Guests"
4/12/13,Orioles,Magnetic Schedule NightPresented By AT&T | All Guests
4/13/13,Orioles,Calendar DayPresented By Subway | All Guests
4/14/13,Orioles,Calendar NightPresented By Subway | All Guests
4/18/13,D-backs,"Flower Seed Packet NightPresented By Keep America Beautiful | 1st 18,000 Guests"
4/11/14,Red Sox,Magnetic Schedule NightPresented By AT&T | All Guests
4/12/14,Red Sox,Calendar DayPresented By Subway | All Guests
4/13/14,Red Sox,Calendar NightPresented By Subway | All Guests
4/16/14,Cubs,"Yankee Stadium Exclusive Yankees Peeps(R) Collectible NightPresented By Peeps(R) Brands | 1st 10,000 Guests 14 and younger"
4/25/14,Angels,"Herbs Seed Packet NightPresented By Keep America Beautiful | 1st 18,000 Guests"
4/10/15,Red Sox,Magnetic Schedule NightPresented By AT&T | All Guests
4/11/15,Red Sox,Calendar DayAll Guests
4/25/15,Mets,"Brett Gardner Replica Bat DayPresented By Bank of America | 1st 10,000 Guests 14 and younger"
4/28/15,Rays,"Masahiro Tanaka Bobblehead NightPresented By AT&T | 1st 18,000 Guests"
4/6/16,Astros,Buy TicketsMasterCard $5 Game
4/17/16,Mariners,Buy TicketsCalendar DayPresented By MasterCard | All Guests
4/23/16,Rays,"Buy TicketsBabe Ruth Bobblehead DayPresented By AT&T | 1st 18,000 Guests"
4/4/16,Astros,Buy TicketsMagnetic Schedule DayPresented By AT&T | All GuestsBuy TicketsOpening Day
